school,test_optional,for_class_year,n_applicants,acceptance_rate,sat_25th,sat_75th,sat_median
New York University,Yes,2021,79462,0.162,1370.0,1510.0,1440.0
Haverford College,Yes,2021 2022 2023,4963,0.163,1380.0,1540.0,1460.0
Wesleyan University,Yes,All / Permanent Policy,13264,0.165,1320.0,1510.0,1415.0
Hamilton College,Yes,2021,8279,0.165,1370.0,1520.0,1445.0
Northeastern University,Yes,2021,62263,0.18100000000000002,1390.0,1540.0,1465.0
Davidson College,Yes,2021 2022 2023,5982,0.18100000000000002,1310.0,1485.0,1397.5
Emory University,Yes,2021,27559,0.185,1350.0,1520.0,1435.0
Carleton College,Yes,2021,7382,0.19,1360.0,1540.0,1450.0
Georgia Institute of Technology,Yes,2021,36856,0.20600000000000002,1300.0,1510.0,1405.0
Washington and Lee University,Yes,2021,5855,0.212,1348.0,1490.0,1419.0
Wellesley College,Yes,2021,6395,0.21600000000000003,1360.0,1530.0,1445.0
Boston University,Yes,2021,64481,0.22100000000000003,1330.0,1500.0,1415.0
Colgate University,Yes,2021,9951,0.226,1330.0,1500.0,1415.0
University of North Carolina—​Chapel Hill,Yes,2021,42466,0.226,1300.0,1490.0,1395.0
University of Michigan—​Ann Arbor,Yes,2021,64972,0.22899999999999998,1340.0,1530.0,1435.0
Vassar College,Yes,2021,8961,0.237,1370.0,1530.0,1450.0
Rhode Island School of Design,Yes,All / Permanent Policy,3913,0.239,1180.0,1440.0,1310.0
University of Virginia,Yes,2021,40839,0.239,1340.0,1500.0,1420.0
Grinnell College,Yes,2021,7349,0.244,1370.0,1530.0,1450.0
Babson College,Yes,2021,6362,0.24,1270.0,1450.0,1360.0
University of California—​Irvine,Yes (TB),2021 2022 2023 2024,95568,0.265,1180.0,1440.0,1310.0
University of Miami,Yes,2021,38919,0.271,1280.0,1420.0,1350.0
Boston College,Yes,2021,35552,0.272,1370.0,1490.0,1430.0
Villanova University,Yes,2021,22909,0.282,1320.0,1470.0,1395.0
University of Richmond,Yes,2021,12356,0.28300000000000003,1290.0,1460.0,1375.0
California State Polytechnic University—​San Luis Obispo,Yes (TB),2021,54072,0.284,1250.0,1420.0,1335.0
Trinity University,Yes,2021 2022 2023,9864,0.28800000000000003,1290.0,1450.0,1370.0
Case Western Reserve University,Yes,2021,26642,0.29300000000000004,1350.0,1520.0,1435.0
University of Rochester,Yes,All / Permanent Policy,20216,0.295,1300.0,1500.0,1400.0
University of California—​Santa Barbara,Yes,2021 2022 2023 2024,93457,0.29600000000000004,1260.0,1460.0,1360.0
Wake Forest University,Yes,All / Permanent Policy,12559,0.29600000000000004,1320.0,1490.0,1405.0
Skidmore College,Yes,All / Permanent Policy,11102,0.3,1220.0,1400.0,1310.0
University of California—​San Diego,Yes,2021 2022 2023 2024,97901,0.302,1250.0,1470.0,1360.0
Franklin and Marshall College,Yes,All / Permanent Policy,9502,0.304,1250.0,1460.0,1355.0
Brandeis University,Yes,All / Permanent Policy,11798,0.311,1280.0,1500.0,1390.0
Lafayette College,Yes,2021,8521,0.315,1250.0,1440.0,1345.0
American University,Yes,All / Permanent Policy,18984,0.315,1220.0,1380.0,1300.0
University of Texas—​Austin,Yes,2021,53525,0.318,1240.0,1470.0,1355.0
Scripps College,Yes,All / Permanent Policy,3022,0.32,1333.0,1490.0,1411.5
Lehigh University,Yes,2021,15649,0.321,1280.0,1450.0,1365.0
Macalester College,Yes,All / Permanent Policy,6598,0.32299999999999995,1320.0,1510.0,1415.0
Smith College,Yes,All / Permanent Policy,5597,0.325,1340.0,1520.0,1430.0
Bryn Mawr College,Yes,All / Permanent Policy,3332,0.331,1290.0,1510.0,1400.0
Trinity College (Hartford),Yes,All / Permanent Policy,6096,0.335,1300.0,1460.0,1380.0
Denison University,Yes,All / Permanent Policy,8042,0.33899999999999997,1210.0,1380.0,1295.0
San Diego State University,Yes (TB),2021,69842,0.34,1110.0,1320.0,1215.0
Kenyon College,Yes,2021,6662,0.341,1270.0,1460.0,1365.0
College of the Holy Cross,Yes,All / Permanent Policy,7200,0.342,1260.0,1430.0,1345.0
Bucknell University,Yes,2021 2022 2023 2024 2025,9845,0.342,1255.0,1430.0,1342.5
Emerson College,Yes,All / Permanent Policy,12941,0.35600000000000004,1200.0,1390.0,1295.0
Pepperdine University,Yes,2021,11265,0.35700000000000004,1220.0,1420.0,1320.0
Hampton University,Yes*,All / Permanent Policy,13028,0.36,1040.0,1310.0,1175.0
Oberlin College,Yes,2021 2022 2023,7708,0.364,1280.0,1480.0,1380.0
CUNY--Hunter,Yes (TB),2021,31030,0.364,1090.0,1260.0,1175.0
Occidental College,Yes,2021,7501,0.36700000000000005,1300.0,1480.0,1390.0
Connecticut College,Yes,All / Permanent Policy,6784,0.374,1310.0,1450.0,1380.0
College of William and Mary,Yes,2021 2022 2023,14680,0.37700000000000006,1320.0,1510.0,1415.0
Mount Holyoke College,Yes,All / Permanent Policy,3908,0.38200000000000006,1270.0,1490.0,1380.0
Berea College,Yes,2021,1576,0.38200000000000006,1030.0,1213.0,1121.5
Pratt Institute,Yes,2021,7941,0.385,1100.0,1320.0,1210.0
Soka University of America,Yes,2021,464,0.38799999999999996,1180.0,1410.0,1295.0
California State University--Los Angeles,Yes (TB),2021,39854,0.39,890.0,1080.0,985.0
California State University--Long Beach,Yes (TB),2021,71297,0.39299999999999996,1040.0,1250.0,1145.0
